College_Code,College_Name,Branch,Govt_Seats,Mgmt_Seats,Total_Seats,Year
E099,College of Engineering,Computer Science and Engineering,120,60,180,2021
E099,College of Engineering,Information Science and Engineering,60,30,90,2021
E099,College of Engineering,Electronics and Communication Engineering,60,30,90,2021
E099,College of Engineering,Electrical and Electronics Engineering,60,30,90,2021
E099,College of Engineering,Mechanical Engineering,60,30,90,2021
E099,College of Engineering,Civil Engineering,30,15,45,2021
E099,College of Engineering,Artificial Intelligence and Machine Learning,60,30,90,2021
E099,College of Engineering,Computer Engineering,30,15,45,2021
